frame,node_id,name,zh,en,source,var,action,note,text,id
chat/sidebar,111:496,SidebarTitle,聊天历史,Chat History,matched,sidebar.title,bind,ChatThreadSidebar.kt:113,聊天历史,111:496
chat/sidebar,111:506,SearchPlaceholder,搜索历史,Search history,matched,search.history,bind,ChatThreadSidebar.kt:137,搜索历史,111:506
chat/sidebar,111:510,ThreadTitle,给我一份相册健康报告,Give me a gallery health report,manual,chat.example.prompt.health.report,bind,"同 key 复用 ask[0];zh 升格(线程标题=历史用户消息,源即示例词); layout-fix: width hug→fill_container (EN 223>行宽出界)",给我一份相册健康度报告,111:510
chat/sidebar,111:511,ThreadPreview,"找到了！去年大宝的照片共有 1,598 张，已经展示在卡片中…","Found them! 1,598 photos of Dabao from last year are now in the card…",manual,chat.sidebar.preview.health,bind,"虚构:会话预览片段,语义翻译","找到了！去年大宝的照片共有 1,598 张，已经展示在卡片中…",111:511
chat/sidebar,111:516,ThreadTitle,新建聊天,New Chat,matched,new.chat,bind,ChatThreadSidebar.kt:121,新建聊天,111:516
chat/sidebar,111:517,ThreadPreview,是的，我的响应速度一直保持稳定，处理这些测试都是即时返回的…,"Yes, my response speed has stayed consistent — these tests all came back instantly…",manual,chat.sidebar.preview.speed,bind,"虚构:会话预览片段,语义翻译",是的，我的响应速度一直保持稳定，处理这些测试都是即时返回的…,111:517
chat/sidebar,111:522,ThreadTitle,找有人物的照片,Find photos with people,manual,chat.example.prompt.people,bind,同 key 复用 search[1],找有人物的照片,111:522
chat/sidebar,111:523,ThreadPreview,去年大宝除了夏天之外的照片已经筛出来了，分两批展示…,"Dabao's photos from last year excluding summer are filtered out, shown in two batches…",manual,chat.sidebar.preview.dabao,bind,"虚构:会话预览片段,语义翻译",去年大宝除了夏天之外的照片已经筛出来了，分两批展示…,111:523
chat/sidebar,111:528,ThreadTitle,飞书远程控制,Feishu Remote Control,matched,chat.thread.feishu,bind,,飞书远程控制,111:528
chat/sidebar,111:529,ThreadPreview,绑定设备后，可在飞书会话中远程控制相册…,"After binding a device, you can control the gallery remotely from a Feishu chat…",manual,chat.sidebar.preview.feishu,bind,"虚构:会话预览片段,语义翻译",绑定设备后，可在飞书会话中远程控制相册…,111:529
chat/sidebar,111:534,ThreadTitle,找去年夏天的照片,Find photos from last summer,manual,chat.example.prompt.last.summer,bind,同 key 复用 search[0]; layout-fix: width hug→fill_container (EN 212>行宽出界),找去年夏天的照片,111:534
chat/sidebar,111:535,ThreadPreview,找到啦！去年夏天（2025 年 6～8 月）的照片一共有 562 张…,Found them! Last summer (June–August 2025) adds up to 562 photos…,manual,chat.sidebar.preview.summer,bind,"虚构:会话预览片段,语义翻译",找到啦！去年夏天（2025 年 6～8 月）的照片一共有 562 张…,111:535
chat/guest-nudge-sheet,171:176,title,喜欢小浪？解锁完整体验,Enjoying Xiaolang? Unlock the full experience,matched,chat.guest.nudge.title,bind,; layout-fix: width hug→fill_container (EN 441>393 卡片被裁),喜欢小浪？解锁完整体验,171:176
chat/guest-nudge-sheet,171:178,desc,注册领取免费额度，或配置自己的 LLM Token，二选一即可继续畅聊,"Register for free quota, or configure your own LLM Token. Either way, keep chatting.",matched,chat.guest.nudge.subtitle,bind,,注册领取免费额度，或配置自己的 LLM Token，二选一即可继续畅聊,171:178
chat/guest-nudge-sheet,171:181,label,邮箱注册 · 领免费额度,Sign up with email · Get free quota,matched,chat.guest.nudge.register,bind,,邮箱注册 · 领免费额度,171:181
chat/guest-nudge-sheet,171:184,label,配置自己的 Token,Use my own Token,matched,chat.guest.nudge.own.key,bind,,配置自己的 Token,171:184
chat/guest-nudge-sheet,171:186,note,已免费体验 20 轮对话 · 也可随时在「设置 → AI 助手」中管理,20 free conversations used · Manage anytime in Settings → AI Assistant,manual,chat.guest.nudge.note,bind,"manual→key chat_guest_nudge_note(%1$d=20 实例); layout-fix: width hug→fill_container (EN 416>393 卡片被裁,note 换行)",已免费体验 20 轮对话 · 也可随时在「设置 → AI 助手」中管理,171:186
